Entidad,CarteraTotal,IMOR,ICOR,PE,Fecha
BBVA México,69808.80433643,0.9281219923457209,259.80935501478587,2.411347762063797,2025-01-01
Santander,50554.906141,0.9076440785395226,211.0605717475343,1.9156787815981557,2025-01-01
Banorte,54639.467252799994,0.540266578120548,253.88667834393965,1.3716648693927254,2025-01-01
Banamex,1.42068886,9.007431085227205,128.21416394794397,11.548802459111277,2025-01-01
Scotiabank,27261.086903,1.9807243780165578,163.99030752609295,3.2481959987536455,2025-01-01
HSBC,14953.177993000001,1.5987747361257534,223.09229214266867,3.5667432050208454,2025-01-01
Inbursa,62969.806053,0.835766388667362,208.1202915766926,1.7393994449945076,2025-01-01
Citi México,0.0,0.0,0.0,0.0,2025-01-01
Banco del Bajío,345.10441828999996,1.208047689061072,233.98393334538974,2.8266374995531796,2025-01-01
Banco Azteca,12.09736457,0.0,0.0,1.4542590576816847,2025-01-01
Afirme,5929.5561099999995,1.9475913349608223,214.13257481125814,4.170427472352563,2025-01-01
Monex,0.0,0.0,0.0,0.0,2025-01-01
Banregio,5446.46039843,0.6266620177728383,384.72869584682246,2.4109486083448233,2025-01-01
J.P. Morgan,0.0,0.0,0.0,0.0,2025-01-01
Bank of America,0.0,0.0,0.0,0.0,2025-01-01
Invex,0.0,0.0,0.0,0.0,2025-01-01
BanCoppel,0.0,0.0,0.0,0.0,2025-01-01
CIBanco,7454.367155999999,2.1060332515770708,133.5362630669615,2.8123181031036406,2025-01-01
Banca Mifel,0.0,0.0,0.0,0.0,2025-01-01
Sabadell,0.0,0.0,0.0,0.0,2025-01-01
Multiva,8.076269,0.0,0.0,1.6110409398201075,2025-01-01
Barclays,0.0,0.0,0.0,0.0,2025-01-01
Banco Base,0.0,0.0,0.0,0.0,2025-01-01
Ve por Más,0.0,0.0,0.0,0.0,2025-01-01
Intercam Banco,0.0,0.0,0.0,0.0,2025-01-01
Bansí,1.4544009999999998,0.455857772375019,181.20663650075417,0.8260445365480361,2025-01-01
Compartamos,0.0,0.0,0.0,0.0,2025-01-01
Actinver,13.827445,19.53483091055506,102.52383413397463,20.027857641089874,2025-01-01
BIAfirme,0.0,0.0,0.0,0.0,2025-01-01
MUFG Bank,0.0,0.0,0.0,0.0,2025-01-01
Bancrea,0.0,0.0,0.0,0.0,2025-01-01
Consubanco,0.0,0.0,0.0,0.0,2025-01-01
BNP Paribas México,0.0,0.0,0.0,0.0,2025-01-01
Inmobiliario Mexicano,0.0,0.0,0.0,0.0,2025-01-01
Bankaool,3.260406,0.0,0.0,2.394425724894384,2025-01-01
Autofin,653.73617102,2.6961994473242568,211.50960080886682,5.702720688046409,2025-01-01
ICBC,0.0,0.0,0.0,0.0,2025-01-01
Mizuho Bank,0.0,0.0,0.0,0.0,2025-01-01
Bank of China,0.0,0.0,0.0,0.0,2025-01-01
Banco Covalto,0.0,0.0,0.0,0.0,2025-01-01
Volkswagen Bank,6674.705685,0.9835852709961098,237.2607618461029,2.333661907371426,2025-01-01
Banco Ualá,0.0,0.0,0.0,0.0,2025-01-01
Shinhan,0.0,0.0,0.0,0.0,2025-01-01
KEB Hana México,0.0,0.0,0.0,0.0,2025-01-01
Openbank,0.0,0.0,0.0,0.0,2025-01-01
Banco S3,0.0,0.0,0.0,0.0,2025-01-01
Banco Bineo,0.0,0.0,0.0,0.0,2025-01-01
Credit Suisse,0.0,0.0,0.0,0.0,2025-01-01
Dondé Banco,0.0,0.0,0.0,0.0,2025-01-01
Forjadores,0.0,0.0,0.0,0.0,2025-01-01
Pagatodo,0.0,0.0,0.0,0.0,2025-01-01
Sistema,306731.31519239995,1.0120164844932384,216.1534712378381,2.1875087607312724,2025-01-01
BBVA México,70569.00238322,0.9586492756214186,241.319892760944,2.3134114038831735,2025-02-01
Santander,51931.972088,0.7924558657288016,245.94546939471988,1.9490092987126921,2025-02-01
Banorte,55925.03099053,0.5471793764617098,237.70543697851582,1.3006751278746256,2025-02-01
Banamex,1.29754482,11.628854562418892,127.66987254257418,14.846543798001525,2025-02-01
HSBC,14648.451308999998,1.563205373521715,213.46487896707535,3.3368944585949474,2025-02-01
