Entidad,CaptacionTotal,DepositoExigInmediata,DepositoPlazoPG,DepositoPlazoMV,TitulosCredito,PrestamosInterBanc,CuentaGlobalCapt,Fecha
BBVA México,1974147.70074776,1514150.35828046,266008.65429234,33676.15500697,140315.36315988,13316.79452996,6680.375478149999,2025-01-01
Santander,1027667.483833,609908.753229,267914.102692,46407.187619,64245.071641,36640.84835,2551.520302,2025-01-01
Banorte,1179260.1621949,745085.4181146801,373893.51482782,2815.0939477399997,40720.197636410005,12753.67350565,3992.2641626,2025-01-01
Banamex,743411.9043884401,521950.70935525,115424.14589905,72770.7101941,0.0,25080.266862020002,8186.072078020001,2025-01-01
Scotiabank,602616.741975,284400.001706,204101.848253,37940.893099,29949.466319,44748.590619,1475.941979,2025-01-01
HSBC,609112.824597,381553.651256,166724.042243,28343.204822,19330.537842,10723.842455,2437.545979,2025-01-01
Inbursa,444768.493441,326825.25573,52628.494149,1954.604298,33041.021333,29852.85803,466.259901,2025-01-01
Citi México,317931.74720271,210751.76928185998,0.0,41730.71584926,3269.7153899299997,62140.29440495,39.252276710000004,2025-01-01
Banco del Bajío,302616.04603434,119992.31802728999,73718.57105073,56015.33594924,0.0,52705.346591919995,184.47441516,2025-01-01
Banco Azteca,234698.86346286,181799.45265507,52899.41080779,0.0,0.0,0.0,0.0,2025-01-01
Afirme,84286.06506400001,40976.028698,39927.561955,0.0,877.44122,2301.567647,203.465544,2025-01-01
Monex,79469.85273907999,36254.20057729,28997.01420703,9802.228464639998,2895.93360505,1516.77452282,3.70136225,2025-01-01
Banregio,187035.9316868,78543.38475685,99167.73522258,1079.92709893,4584.43859443,3618.63696621,41.809047799999995,2025-01-01
J.P. Morgan,67068.55170899999,60967.459732,0.0,4548.545379,0.0,1552.546598,0.0,2025-01-01
Bank of America,115351.246288,42301.641713,613.242318,72436.362257,0.0,0.0,0.0,2025-01-01
Invex,54595.94322,6852.258374,16290.075453,26618.445096,497.350983,4337.128454,0.68486,2025-01-01
BanCoppel,146038.06387315,135472.79779767,4539.47582129,0.0,0.0,5410.01763259,615.7726216,2025-01-01
CIBanco,50091.688921,11750.22313,38230.168077,0.0,0.0,15.002192,96.295522,2025-01-01
Banca Mifel,92513.05606100001,27173.991433,44326.960621,382.253236,1840.60244,18788.797803,0.450528,2025-01-01
Sabadell,119229.29677700001,41823.630066,18424.147187,4909.550234,0.0,54069.47385,2.49544,2025-01-01
Multiva,82733.68137399999,31777.35861,29586.836981,9120.934332,0.0,12207.22958,41.321871,2025-01-01
Barclays,2793.283635,0.0,0.0,0.0,0.0,2793.283635,0.0,2025-01-01
Banco Base,34474.795896999996,19304.46363,12704.923591,2081.302493,113.245819,231.187714,39.67265,2025-01-01
Ve por Más,60827.989232,37261.014976,19315.340716,342.944994,0.0,3899.83612,8.852426,2025-01-01
Intercam Banco,39535.880758,23922.302798,14604.763135,100.35225,0.0,844.32934,64.133235,2025-01-01
Bansí,39271.508386999994,10228.373683,28505.066199,314.024569,0.0,223.783926,0.26001,2025-01-01
Compartamos,37577.95328,2348.814618,2083.571954,0.0,13229.677313,19799.343999,116.545396,2025-01-01
Actinver,36136.107674,12845.343943,6508.478466,4943.783888,11767.712166,32.233134,38.556077,2025-01-01
BIAfirme,23.30917,23.30917,0.0,0.0,0.0,0.0,0.0,2025-01-01
MUFG Bank,30209.274984,17312.252854,12897.02213,0.0,0.0,0.0,0.0,2025-01-01
Bancrea,41965.00711889,5166.61316021,30917.571504389998,0.0,0.0,5880.82245429,0.0,2025-01-01
Consubanco,18160.30499,371.532942,12498.954635,2227.909799,3061.499135,0.0,0.408479,2025-01-01
BNP Paribas México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01
Inmobiliario Mexicano,12741.49166688,585.3605725499999,10600.23500705,0.0,0.0,1555.54239646,0.35369082,2025-01-01
Bankaool,13170.938317999999,5869.428818,7275.5102,0.0,0.0,25.9993,0.0,2025-01-01
Autofin,12191.042498820001,2491.05756815,9538.0095391,0.0,0.0,154.56469183000002,7.41069974,2025-01-01
ICBC,10817.725622,7273.661079,2005.304712,0.0,0.0,1538.759831,0.0,2025-01-01
Mizuho Bank,7524.99642715,2414.5635168000003,4212.32910714,188.99257025999998,0.0,709.11123295,0.0,2025-01-01
Bank of China,6996.662693549999,1851.3708488599998,0.0,0.0,0.0,5145.291844689999,0.0,2025-01-01
Banco Covalto,7824.256517520001,1948.64168913,2981.8374716,20.455972120000002,0.0,2873.32138467,0.0,2025-01-01
Volkswagen Bank,3517.119535,1.127199,0.0,0.0,0.0,3515.685678,0.306658,2025-01-01
Banco Ualá,5954.28806,3753.716219,2200.445361,0.0,0.0,0.0,0.12648,2025-01-01
Shinhan,4420.844984,1293.961016,257.372703,0.0,0.0,2869.454647,0.056618,2025-01-01
KEB Hana México,4185.352318,0.0,107.023944,0.0,0.0,4078.328374,0.0,2025-01-01
