Entidad,CarteraTotal,IMOR,ICOR,PE,Fecha
BBVA México,503087.64495697,2.8565442799472596,277.4417515328904,7.925246483598269,2025-01-01
Santander,206590.628719,3.323691558797458,239.92819432510174,7.974473141958567,2025-01-01
Banorte,205108.48321272,2.2166922836802674,282.72307058959524,6.267100489943473,2025-01-01
Banamex,231100.55119682002,3.1455382842505433,256.0525946008116,8.054232390985366,2025-01-01
Scotiabank,49719.603075,2.4715553142013897,273.86874920683806,6.768817624958483,2025-01-01
HSBC,105889.705457,2.9821046185479334,346.92319804005814,10.345612711566767,2025-01-01
Inbursa,88819.36725,1.156905819997271,338.0042765515119,3.9103911472641126,2025-01-01
Citi México,0.0,0.0,0.0,0.0,2025-01-01
Banco del Bajío,7129.902178249999,2.4392032979151765,367.47562851035724,8.963477649659156,2025-01-01
Banco Azteca,128486.12115524,5.2301231085735385,203.50101585379338,10.643353656351145,2025-01-01
Afirme,12445.088972,2.298246590631124,324.94750022282625,7.4680948452121685,2025-01-01
Monex,0.0,0.0,0.0,0.0,2025-01-01
Banregio,12611.61048948,1.6551699537828566,471.03772530636235,7.796474900253138,2025-01-01
J.P. Morgan,0.0,0.0,0.0,0.0,2025-01-01
Bank of America,0.0,0.0,0.0,0.0,2025-01-01
Invex,29368.71938,2.473517342042171,298.7198259592311,7.388886699219774,2025-01-01
BanCoppel,22619.919637570005,13.505398008912556,163.39407027947,22.067019514204723,2025-01-01
CIBanco,8232.336061,2.376845582470446,141.75896462284982,3.3693916883940482,2025-01-01
Banca Mifel,370.859013,6.358989851488388,300.04708923042375,19.079963953848953,2025-01-01
Sabadell,11.842605,6.423814692797741,222.20869750390082,14.274274958930066,2025-01-01
Multiva,6212.2895419999995,1.5516402342213949,244.93758656285542,3.8005501418401213,2025-01-01
Barclays,0.0,0.0,0.0,0.0,2025-01-01
Banco Base,0.0,0.0,0.0,0.0,2025-01-01
Ve por Más,204.33474299999997,0.36547578206022463,1070.885143694245,3.9138258538833024,2025-01-01
Intercam Banco,495.95819200000005,0.41340097473377346,1876.5610428933187,7.757721642795244,2025-01-01
Bansí,679.91899,0.9585499296026428,784.2522965193132,7.517449836192985,2025-01-01
