Entidad,CarteraTotal,IMOR,ICOR,PE,Fecha
BBVA México,159396.14982336,2.68427970749702,261.2294643425443,7.012129501350081,2025-01-01
Santander,54010.357183,3.739323069382857,193.21532869848588,7.224945359606398,2025-01-01
Banorte,84002.75256263999,2.8719937945735565,245.98188809912563,7.064584561981759,2025-01-01
Banamex,62184.51972535001,3.0743198773482843,201.40710789682902,6.191898752464519,2025-01-01
Scotiabank,1748.539873,3.1174381460616543,204.9107837770153,6.387966938858591,2025-01-01
HSBC,31707.402042,2.793808615498048,325.17371188089265,9.084731177863178,2025-01-01
Inbursa,2115.080578,2.070004020433116,324.48643060922427,6.716882159370857,2025-01-01
Citi México,0.0,0.0,0.0,0.0,2025-01-01
Banco del Bajío,2482.53025403,2.899071196138191,240.5699331344903,6.974293638070915,2025-01-01
Banco Azteca,1984.4882068699999,2.8265077996341286,256.35135476190953,7.245791036813127,2025-01-01
Afirme,2285.816982,2.1915176671830325,354.16166815549855,7.761515528017895,2025-01-01
Monex,0.0,0.0,0.0,0.0,2025-01-01
Banregio,13.06446516,1.9522660658233943,518.7300865011962,10.126991451979194,2025-01-01
J.P. Morgan,0.0,0.0,0.0,0.0,2025-01-01
Bank of America,0.0,0.0,0.0,0.0,2025-01-01
Invex,0.0,0.0,0.0,0.0,2025-01-01
BanCoppel,235.10526063999998,2.588863053694025,261.2838121847823,6.764280078935116,2025-01-01
CIBanco,0.0,0.0,0.0,0.0,2025-01-01
Banca Mifel,0.138149,0.0,0.0,17.877798608748527,2025-01-01
Sabadell,0.0,0.0,0.0,0.0,2025-01-01
Multiva,48.130102,0.8535552241297971,621.2496074894661,5.302708479612198,2025-01-01
Barclays,0.0,0.0,0.0,0.0,2025-01-01
Banco Base,0.0,0.0,0.0,0.0,2025-01-01
Ve por Más,0.0,0.0,0.0,0.0,2025-01-01
Intercam Banco,0.0,0.0,0.0,0.0,2025-01-01
Bansí,0.0,0.0,0.0,0.0,2025-01-01
Compartamos,0.0,0.0,0.0,0.0,2025-01-01
Actinver,0.0,0.0,0.0,0.0,2025-01-01
BIAfirme,0.0,0.0,0.0,0.0,2025-01-01
MUFG Bank,0.0,0.0,0.0,0.0,2025-01-01
Bancrea,0.0,0.0,0.0,0.0,2025-01-01
Consubanco,0.0,0.0,0.0,0.0,2025-01-01
BNP Paribas México,0.0,0.0,0.0,0.0,2025-01-01
Inmobiliario Mexicano,0.0,0.0,0.0,0.0,2025-01-01
Bankaool,0.736536,2.9657749247830387,734.2565464200696,21.776396537304358,2025-01-01
Autofin,1.88131636,6.616865331463975,111.04901932510775,7.347964060653784,2025-01-01
ICBC,0.0,0.0,0.0,0.0,2025-01-01
Mizuho Bank,0.0,0.0,0.0,0.0,2025-01-01
Bank of China,0.0,0.0,0.0,0.0,2025-01-01
Banco Covalto,0.0,0.0,0.0,0.0,2025-01-01
Volkswagen Bank,0.0,0.0,0.0,0.0,2025-01-01
Banco Ualá,0.0,0.0,0.0,0.0,2025-01-01
Shinhan,0.0,0.0,0.0,0.0,2025-01-01
KEB Hana México,0.0,0.0,0.0,0.0,2025-01-01
Openbank,0.0,0.0,0.0,0.0,2025-01-01
Banco S3,0.0,0.0,0.0,0.0,2025-01-01
Banco Bineo,0.0,0.0,0.0,0.0,2025-01-01
Credit Suisse,0.0,0.0,0.0,0.0,2025-01-01
Dondé Banco,0.0,0.0,0.0,0.0,2025-01-01
Forjadores,0.0,0.0,0.0,0.0,2025-01-01
Pagatodo,0.0,0.0,0.0,0.0,2025-01-01
BBVA México,160058.31373402997,2.6993857398307703,261.2342030651001,7.051718825099869,2025-02-01
Santander,54067.599264,3.668636610467573,200.82606446539663,7.36757852433875,2025-02-01
Banorte,85037.53705609,2.860343577290618,247.08987455803273,7.067619357056134,2025-02-01
Banamex,62640.922484899995,3.2078534590137724,207.87816424880918,6.668426882389755,2025-02-01
HSBC,31597.851468,2.6475042135292055,343.2232106866722,9.08684896473987,2025-02-01
Scotiabank,1726.737923,3.300440572995975,187.17328433242074,6.177543017916333,2025-02-01
Inbursa,2170.3748,2.2798901830227662,307.1995257604145,7.0038118301041825,2025-02-01
Citi México,0.0,0.0,0.0,0.0,2025-02-01
Banco del Bajío,2486.01257505,2.711039409711935,259.2379575417061,7.028043193887947,2025-02-01
Banco Azteca,1966.05208872,2.254716989154666,315.8926754276018,7.1224858203613435,2025-02-01
Monex,0.0,0.0,0.0,0.0,2025-02-01
Afirme,2310.726506,2.561120316330504,305.24048754854766,7.817576140272137,2025-02-01
Banregio,12.889641070000001,3.0800486828451303,324.49750158196116,9.99468102334055,2025-02-01
J.P. Morgan,0.0,0.0,0.0,0.0,2025-02-01
Invex,0.0,0.0,0.0,0.0,2025-02-01
CIBanco,0.0,0.0,0.0,0.0,2025-02-01
BanCoppel,251.51843040000003,3.2915771129907614,208.94644172857033,6.8776332543461995,2025-02-01
Banca Mifel,0.133126,0.0,0.0,19.208118624461036,2025-02-01
Multiva,48.873569,0.8405709024442228,648.4013563216712,5.4502731322936535,2025-02-01
Sabadell,0.0,0.0,0.0,0.0,2025-02-01
Bank of America,0.0,0.0,0.0,0.0,2025-02-01
Banco Base,0.0,0.0,0.0,0.0,2025-02-01
Barclays,0.0,0.0,0.0,0.0,2025-02-01
Ve por Más,0.0,0.0,0.0,0.0,2025-02-01
Intercam Banco,0.0,0.0,0.0,0.0,2025-02-01
Bansí,0.0,0.0,0.0,0.0,2025-02-01
Compartamos,0.0,0.0,0.0,0.0,2025-02-01
Actinver,0.0,0.0,0.0,0.0,2025-02-01
BIAfirme,0.0,0.0,0.0,0.0,2025-02-01
Bancrea,0.0,0.0,0.0,0.0,2025-02-01
MUFG Bank,0.0,0.0,0.0,0.0,2025-02-01
Consubanco,0.0,0.0,0.0,0.0,2025-02-01
BNP Paribas México,0.0,0.0,0.0,0.0,2025-02-01
Bankaool,0.669709,5.812225907073072,269.75208734746303,15.67860070567963,2025-02-01
Autofin,1.80279086,8.994777131275226,71.9795541383284,6.474400474828233,2025-02-01
Inmobiliario Mexicano,0.0,0.0,0.0,0.0,2025-02-01
ICBC,0.0,0.0,0.0,0.0,2025-02-01
Mizuho Bank,0.0,0.0,0.0,0.0,2025-02-01
Banco Covalto,0.0,0.0,0.0,0.0,2025-02-01
Bank of China,0.0,0.0,0.0,0.0,2025-02-01
Volkswagen Bank,0.0,0.0,0.0,0.0,2025-02-01
Banco Ualá,0.0,0.0,0.0,0.0,2025-02-01
Shinhan,0.0,0.0,0.0,0.0,2025-02-01
Banco S3,0.0,0.0,0.0,0.0,2025-02-01
KEB Hana México,0.0,0.0,0.0,0.0,2025-02-01
Openbank,0.0,0.0,0.0,0.0,2025-02-01
Banco Bineo,0.0,0.0,0.0,0.0,2025-02-01
Dondé Banco,0.0,0.0,0.0,0.0,2025-02-01
Credit Suisse,0.0,0.0,0.0,0.0,2025-02-01
Hey Banco,0.0,0.0,0.0,0.0,2025-02-01
Forjadores,0.0,0.0,0.0,0.0,2025-02-01
Pagatodo,0.0,0.0,0.0,0.0,2025-02-01
BBVA México,161433.07499301,2.5702137227452666,269.0703142850926,6.915682141589266,2025-03-01
Santander,54399.818512000005,3.451860300941586,206.7796010713971,7.137742959828939,2025-03-01
Banorte,85974.65058807,2.6856023883048996,260.20500892096396,6.988071934070386,2025-03-01
Banamex,63351.77363681,3.2109543193089825,216.92358381540976,6.965317184120741,2025-03-01
HSBC,31599.619373,2.517044283386533,349.18623831506557,8.789172249881833,2025-03-01
Scotiabank,1704.749925,3.126612133448253,202.74252312127157,6.338972327568808,2025-03-01
Inbursa,2261.527369,2.1525437041925097,327.3599098938555,7.0465651304704595,2025-03-01
Citi México,0.0,0.0,0.0,0.0,2025-03-01
Banco del Bajío,2549.1388851500005,2.3737310251120114,297.1371970558283,7.053237833662411,2025-03-01
Banco Azteca,1983.6686692900003,2.0744502238233458,348.94524222722157,7.238695358403515,2025-03-01
Monex,0.0,0.0,0.0,0.0,2025-03-01
