Entidad,CarteraTotal,IMOR,ICOR,PE,Fecha
BBVA México,204145.38990663,2.953103051265234,321.77371231811634,9.50230931663571,2025-01-01
Santander,85901.934807,4.192464017360558,283.23984841186433,11.874728727494004,2025-01-01
Banorte,65306.216283359994,2.7355949003053834,336.03085705483556,9.192442989044554,2025-01-01
Banamex,146980.36496853002,3.089819522439181,287.3075027863445,8.877283310524966,2025-01-01
Scotiabank,12412.029107999999,2.7728860044178365,446.07401797670485,12.369124013820354,2025-01-01
HSBC,44542.071059,3.534947443091232,388.72670697130275,13.741284788694811,2025-01-01
Inbursa,16117.09232,1.1880567362785943,866.2649293960163,10.291718847708383,2025-01-01
Citi México,0.0,0.0,0.0,0.0,2025-01-01
Banco del Bajío,2976.69304647,2.7788802371844987,405.2343250667361,11.260976573567518,2025-01-01
Banco Azteca,7596.033417420001,8.523146850503156,254.55761016372574,21.69631893338569,2025-01-01
Afirme,1546.646424,2.0105257101735616,762.7916912306014,15.336123067258972,2025-01-01
Monex,0.0,0.0,0.0,0.0,2025-01-01
Banregio,6045.5719598,2.138554841786667,570.1120813545117,12.192159519417652,2025-01-01
J.P. Morgan,0.0,0.0,0.0,0.0,2025-01-01
Bank of America,0.0,0.0,0.0,0.0,2025-01-01
Invex,29203.383024,2.4554565798445007,299.6459578037426,7.3576763871300725,2025-01-01
BanCoppel,14711.3745363,13.285303840830338,178.52572205680627,23.717684609282976,2025-01-01
CIBanco,0.0,0.0,0.0,0.0,2025-01-01
Banca Mifel,368.375464,6.396367647330605,298.5833511333976,19.098488872212183,2025-01-01
Sabadell,0.0,0.0,0.0,0.0,2025-01-01
Multiva,0.0,0.0,0.0,0.0,2025-01-01
Barclays,0.0,0.0,0.0,0.0,2025-01-01
Banco Base,0.0,0.0,0.0,0.0,2025-01-01
Ve por Más,0.0,0.0,0.0,0.0,2025-01-01
Intercam Banco,0.0,0.0,0.0,0.0,2025-01-01
Bansí,0.0,0.0,0.0,0.0,2025-01-01
Compartamos,0.0,0.0,0.0,0.0,2025-01-01
Actinver,0.0,0.0,0.0,0.0,2025-01-01
BIAfirme,0.0,0.0,0.0,0.0,2025-01-01
MUFG Bank,0.0,0.0,0.0,0.0,2025-01-01
Bancrea,0.0,0.0,0.0,0.0,2025-01-01
Consubanco,0.0,0.0,0.0,0.0,2025-01-01
BNP Paribas México,0.0,0.0,0.0,0.0,2025-01-01
Inmobiliario Mexicano,0.0,0.0,0.0,0.0,2025-01-01
Bankaool,0.0,0.0,0.0,0.0,2025-01-01
Autofin,0.0,0.0,0.0,0.0,2025-01-01
ICBC,0.0,0.0,0.0,0.0,2025-01-01
Mizuho Bank,0.0,0.0,0.0,0.0,2025-01-01
Bank of China,0.0,0.0,0.0,0.0,2025-01-01
Banco Covalto,0.0,0.0,0.0,0.0,2025-01-01
Volkswagen Bank,0.0,0.0,0.0,0.0,2025-01-01
Banco Ualá,248.840258,16.112169036571245,181.0769075325134,29.175417427834365,2025-01-01
Shinhan,0.0,0.0,0.0,0.0,2025-01-01
KEB Hana México,0.0,0.0,0.0,0.0,2025-01-01
Openbank,0.27971,0.0,0.0,3.383504343784634,2025-01-01
Banco S3,0.0,0.0,0.0,0.0,2025-01-01
Banco Bineo,0.77891369,0.0,0.0,24.424296612375628,2025-01-01
Credit Suisse,0.0,0.0,0.0,0.0,2025-01-01
Dondé Banco,0.0,0.0,0.0,0.0,2025-01-01
Forjadores,0.0,0.0,0.0,0.0,2025-01-01
Pagatodo,0.0,0.0,0.0,0.0,2025-01-01
Sistema,638103.0752062,3.3997438759341083,307.4761353719857,10.453401082267952,2025-01-01
BBVA México,204452.43553492002,2.7205169374468,342.51019442386365,9.318047851783177,2025-02-01
Santander,86437.526155,4.052519536154465,289.6843600711399,11.739515285066986,2025-02-01
Banorte,66027.82617243999,2.703648958619095,346.1491479411785,9.358657833580542,2025-02-01
Banamex,146278.49645646,3.1291723841805017,285.6112473649435,8.937268278657271,2025-02-01
HSBC,44561.227495,3.5787022949018517,384.67745511664333,13.766460914229356,2025-02-01
Scotiabank,12439.305863000001,2.8059380390203046,445.48283865467664,12.49997242711902,2025-02-01
Inbursa,15822.935105999999,1.1536294232211208,922.8115674631864,10.64582576314334,2025-02-01
Citi México,0.0,0.0,0.0,0.0,2025-02-01
Banco del Bajío,2939.0499309999996,2.8145332029746997,397.4832089023539,11.187296890806039,2025-02-01
Banco Azteca,7443.83540246,8.574131873860031,247.49882792475807,21.22087589252667,2025-02-01
Monex,0.0,0.0,0.0,0.0,2025-02-01
Afirme,1550.2703110000002,3.0494979917086207,541.8548463894441,16.52385265862193,2025-02-01
Banregio,5985.066188520001,2.700524716335138,474.4126703934154,12.811631421399735,2025-02-01
J.P. Morgan,0.0,0.0,0.0,0.0,2025-02-01
Invex,29391.03802,2.6390998013482205,281.76118168737247,7.435958786187845,2025-02-01
CIBanco,0.0,0.0,0.0,0.0,2025-02-01
BanCoppel,14551.2476507,12.894181593766914,184.12358224068146,23.74122905106224,2025-02-01
Banca Mifel,387.100534,7.0424198898160135,281.7410173306465,19.84138544226343,2025-02-01
Multiva,0.0,0.0,0.0,0.0,2025-02-01
Sabadell,0.0,0.0,0.0,0.0,2025-02-01
Bank of America,0.0,0.0,0.0,0.0,2025-02-01
Banco Base,0.0,0.0,0.0,0.0,2025-02-01
Barclays,0.0,0.0,0.0,0.0,2025-02-01
Ve por Más,0.0,0.0,0.0,0.0,2025-02-01
Intercam Banco,0.0,0.0,0.0,0.0,2025-02-01
Bansí,0.0,0.0,0.0,0.0,2025-02-01
Compartamos,0.0,0.0,0.0,0.0,2025-02-01
Actinver,0.0,0.0,0.0,0.0,2025-02-01
BIAfirme,0.0,0.0,0.0,0.0,2025-02-01
Bancrea,0.0,0.0,0.0,0.0,2025-02-01
MUFG Bank,0.0,0.0,0.0,0.0,2025-02-01
Consubanco,0.0,0.0,0.0,0.0,2025-02-01
BNP Paribas México,0.0,0.0,0.0,0.0,2025-02-01
Bankaool,0.0,0.0,0.0,0.0,2025-02-01
Autofin,0.0,0.0,0.0,0.0,2025-02-01
Inmobiliario Mexicano,0.0,0.0,0.0,0.0,2025-02-01
ICBC,0.0,0.0,0.0,0.0,2025-02-01
Mizuho Bank,0.0,0.0,0.0,0.0,2025-02-01
Banco Covalto,0.0,0.0,0.0,0.0,2025-02-01
