Entidad,CarteraTotal,IMOR,ICOR,PE,Fecha
BBVA México,370506.09130117996,2.1602388219371527,67.91012767968176,1.4670209421635736,2025-01-01
Santander,240412.60098500003,3.6454840928021164,64.87025243782557,2.3648347335815085,2025-01-01
Banorte,275329.99024504,0.736883737614032,65.77552369059632,0.48468913740646913,2025-01-01
Banamex,76676.71545798,2.2552850276922345,48.016405320873126,1.0829068000376691,2025-01-01
Scotiabank,244746.461906,5.218027261576899,42.74547812384246,2.230470701593489,2025-01-01
HSBC,152659.673131,2.5272258382797235,52.4452156912703,1.325409041891315,2025-01-01
Inbursa,4909.184678,16.152687544096505,34.10456484788612,5.508803798152815,2025-01-01
Citi México,0.0,0.0,0.0,0.0,2025-01-01
Banco del Bajío,4003.62541793,3.7049642687774913,46.2980595059215,1.7153265618317322,2025-01-01
Banco Azteca,625.66361528,4.205926323240549,25.99570529539153,1.0933602119309096,2025-01-01
Afirme,13539.832549,3.7952955410660003,46.20889758602989,1.7537642296583473,2025-01-01
Monex,5.12759844,62.03978601725295,98.23324393487627,60.94369433500335,2025-01-01
Banregio,16356.68291092,1.2959275487848743,78.98304326553564,1.0235630165467529,2025-01-01
J.P. Morgan,0.0,0.0,0.0,0.0,2025-01-01
Bank of America,0.0,0.0,0.0,0.0,2025-01-01
Invex,64.782667,0.0,0.0,0.1290978032750643,2025-01-01
BanCoppel,4329.39208948,1.9188587467479312,147.20442109504708,2.824644909781968,2025-01-01
CIBanco,813.498109,0.6088541503911473,406.3144745919508,2.473862542193076,2025-01-01
Banca Mifel,18173.768235,6.737358456249732,46.8001336662321,3.1530927630980656,2025-01-01
Sabadell,58.650003999999996,2.167416731974989,33.24483358113264,0.7205540855547086,2025-01-01
Multiva,410.942883,70.60416520219916,99.88078594073777,70.5199951108534,2025-01-01
Barclays,0.0,0.0,0.0,0.0,2025-01-01
Banco Base,0.0,0.0,0.0,0.0,2025-01-01
Ve por Más,10833.239983,0.8701977446076486,393.2785021758106,3.4223006559606466,2025-01-01
Intercam Banco,0.0,0.0,0.0,0.0,2025-01-01
Bansí,16.650035,20.769577961848128,29.70430364050985,6.169458502639785,2025-01-01
Compartamos,0.0,0.0,0.0,0.0,2025-01-01
Actinver,0.0,0.0,0.0,0.0,2025-01-01
BIAfirme,0.0,0.0,0.0,0.0,2025-01-01
MUFG Bank,0.0,0.0,0.0,0.0,2025-01-01
Bancrea,0.0,0.0,0.0,0.0,2025-01-01
Consubanco,0.0,0.0,0.0,0.0,2025-01-01
BNP Paribas México,0.0,0.0,0.0,0.0,2025-01-01
Inmobiliario Mexicano,240.72927963,2.8781383015182493,40.135567160532496,1.1551571309788662,2025-01-01
Bankaool,0.0,0.0,0.0,0.0,2025-01-01
Autofin,89.88366474,32.769464424042575,33.087107005014445,10.842467758953108,2025-01-01
ICBC,0.0,0.0,0.0,0.0,2025-01-01
Mizuho Bank,0.0,0.0,0.0,0.0,2025-01-01
Bank of China,0.0,0.0,0.0,0.0,2025-01-01
Banco Covalto,0.0,0.0,0.0,0.0,2025-01-01
Volkswagen Bank,0.0,0.0,0.0,0.0,2025-01-01
Banco Ualá,18.170779,0.0,0.0,0.10432133922271578,2025-01-01
Shinhan,0.0,0.0,0.0,0.0,2025-01-01
KEB Hana México,0.0,0.0,0.0,0.0,2025-01-01
Openbank,0.0,0.0,0.0,0.0,2025-01-01
Banco S3,0.0,0.0,0.0,0.0,2025-01-01
Banco Bineo,0.0,0.0,0.0,0.0,2025-01-01
Credit Suisse,0.0,0.0,0.0,0.0,2025-01-01
Dondé Banco,0.0,0.0,0.0,0.0,2025-01-01
Forjadores,0.0,0.0,0.0,0.0,2025-01-01
Pagatodo,0.0,0.0,0.0,0.0,2025-01-01
Sistema,1434821.35752462,2.828908192871915,56.44767406645822,1.5968528763516718,2025-01-01
BBVA México,373467.03945929,2.2525083938651025,65.17883664248892,1.4681587663956857,2025-02-01
Santander,241344.919718,3.6350694053352757,65.49095608816503,2.3806417080224476,2025-02-01
Banorte,276838.21209751,0.7659117909825106,66.17173419792445,0.5068171145195095,2025-02-01
Banamex,76597.76374138,2.198048432281382,47.65230962504505,1.0474208446591728,2025-02-01
HSBC,152381.82809,2.563426283147697,52.80481229595455,1.3536124371613056,2025-02-01
Scotiabank,245037.43962599998,5.271977811928331,43.09748310847004,2.272089746978101,2025-02-01
Inbursa,4901.228926,16.306561804536283,34.43201265334658,5.614677423863715,2025-02-01
Citi México,0.0,0.0,0.0,0.0,2025-02-01
Banco del Bajío,3955.1691383800003,3.5966237036392656,46.747681141316896,1.6813381808303065,2025-02-01
Banco Azteca,615.15694555,4.190554076724591,24.20225079438204,1.0142084073230864,2025-02-01
Monex,4.71244272,63.380404335185204,98.86996676421089,62.66418470122008,2025-02-01
Afirme,13661.362178,3.7685259514536247,48.058035648947126,1.8110795451894066,2025-02-01
Banregio,16480.92299387,1.300996729368562,79.3162903253486,1.0319023429892584,2025-02-01
J.P. Morgan,0.0,0.0,0.0,0.0,2025-02-01
Invex,67.157167,0.0,0.0,0.12309036204579624,2025-02-01
CIBanco,741.752915,0.5397845992961146,292.14821767350975,1.5769710861196953,2025-02-01
BanCoppel,4258.9385862,2.0566747081965704,141.88589786081758,2.9181313758010536,2025-02-01
Banca Mifel,17868.165976999997,7.022551987793192,46.087313373680935,3.2365055414439086,2025-02-01
Multiva,419.60078300000004,68.76321605910826,99.88649711540694,68.6851678253422,2025-02-01
Sabadell,55.968430999999995,2.255678741467668,31.97332526448195,0.7212155009312303,2025-02-01
Bank of America,0.0,0.0,0.0,0.0,2025-02-01
Banco Base,0.0,0.0,0.0,0.0,2025-02-01
Barclays,0.0,0.0,0.0,0.0,2025-02-01
Ve por Más,10727.196136,0.9017055694114327,385.97198683211036,3.4803309016331005,2025-02-01
Intercam Banco,0.0,0.0,0.0,0.0,2025-02-01
Bansí,16.353854000000002,21.130542072834942,35.83933942537138,7.573046695904219,2025-02-01
Compartamos,0.0,0.0,0.0,0.0,2025-02-01
Actinver,0.0,0.0,0.0,0.0,2025-02-01
BIAfirme,0.0,0.0,0.0,0.0,2025-02-01
Bancrea,0.0,0.0,0.0,0.0,2025-02-01
MUFG Bank,0.0,0.0,0.0,0.0,2025-02-01
Consubanco,0.0,0.0,0.0,0.0,2025-02-01
BNP Paribas México,0.0,0.0,0.0,0.0,2025-02-01
Bankaool,0.0,0.0,0.0,0.0,2025-02-01
Autofin,89.47790604,33.49491276271266,30.859007186934996,10.336197536703107,2025-02-01
Inmobiliario Mexicano,237.82266588000002,2.5027154110715664,42.40633646181003,1.0613099179005805,2025-02-01
ICBC,0.0,0.0,0.0,0.0,2025-02-01
Mizuho Bank,0.0,0.0,0.0,0.0,2025-02-01
Banco Covalto,0.0,0.0,0.0,0.0,2025-02-01
Bank of China,0.0,0.0,0.0,0.0,2025-02-01
Volkswagen Bank,0.0,0.0,0.0,0.0,2025-02-01
Banco Ualá,18.105212,0.0,0.0,0.10487035445925735,2025-02-01
Shinhan,0.0,0.0,0.0,0.0,2025-02-01
Banco S3,0.0,0.0,0.0,0.0,2025-02-01
KEB Hana México,0.0,0.0,0.0,0.0,2025-02-01
Openbank,0.0,0.0,0.0,0.0,2025-02-01
Banco Bineo,0.0,0.0,0.0,0.0,2025-02-01
Dondé Banco,0.0,0.0,0.0,0.0,2025-02-01
Credit Suisse,0.0,0.0,0.0,0.0,2025-02-01
Hey Banco,0.0,0.0,0.0,0.0,2025-02-01
